time,theta,q,e,H
0.274,0.215445293675807,0.594790094170298,-0.650861862447143,1
0.275,0.216039461204395,0.593545223341397,-0.650544721280114,1
0.276,0.216632384642917,0.592301913794346,-0.650227478960659,1
0.277,0.217224065551925,0.5910601640695,-0.649910135980795,1
0.278,0.217814505490511,0.58981997270818,-0.649592692831787,1
0.279,0.21840370601631,0.588581338252677,-0.649275150004152,1
0.28,0.218991668685499,0.587344259246247,-0.648957507987658,1
0.281,0.2195783950528,0.586108734233112,-0.648639767271322,1
0.282,0.220163886671478,0.584874761758462,-0.648321928343415,1
0.283,0.220748145093345,0.583642340368455,-0.648003991691462,1
0.284,0.221331171868759,0.582411468610211,-0.64768595780224,1
0.285,0.221912968546626,0.58118214503182,-0.647367827161782,1
0.286,0.222493536674399,0.579954368182336,-0.647049600255376,1
0.287,0.223072877798083,0.578728136611779,-0.646731277567568,1
0.288,0.223650993462233,0.577503448871134,-0.646412859582158,1
0.289,0.224227885209953,0.57628030351235,-0.646094346782206,1
0.29,0.224803554582902,0.575058699088344,-0.645775739650032,1
0.291,0.225378003121292,0.573838634152994,-0.645457038667213,1
0.292,0.225951232363889,0.572620107261145,-0.645138244314588,1
0.293,0.226523243848014,0.571403116968606,-0.644819357072256,1
0.294,0.227094039109545,0.570187661832148,-0.644500377419579,1
0.295,0.227663619682917,0.568973740409509,-0.644181305835182,1
0.296,0.228231987101122,0.567761351259386,-0.643862142796952,1
0.297,0.228799142895713,0.566550492941444,-0.643542888782042,1
0.298,0.229365088596802,0.565341164016309,-0.64322354426687,1
0.299,0.229929825733064,0.564133363045568,-0.642904109727118,1
0.3,0.230493355831732,0.562927088591774,-0.642584585637737,1
0.301,0.231055680418607,0.561722339218441,-0.642264972472945,1
0.302,0.231616801018051,0.560519113490044,-0.641945270706228,1
0.303,0.232176719152991,0.559317409972021,-0.641625480810342,1
0.304,0.232735436344921,0.558117227230772,-0.64130560325731,1
0.305,0.2332929541139,0.556918563833659,-0.64098563851843,1
0.306,0.233849273978559,0.555721418349002,-0.640665587064268,1
0.307,0.234404397456092,0.554525789346087,-0.640345449364664,1
0.308,0.234958326062268,0.553331675395156,-0.640025225888732,1
0.309,0.235511061311424,0.552139075067414,-0.639704917104857,1
0.31,0.236062604716468,0.550947986935026,-0.639384523480701,1
0.311,0.236612957788883,0.549758409571118,-0.639064045483202,1
0.312,0.237162122038725,0.548570341549773,-0.63874348357857,1
0.313,0.237710098974622,0.547383781446036,-0.638422838232298,1
0.314,0.238256890103781,0.54619872783591,-0.638102109909153,1
0.315,0.238802496931984,0.54501517929636,-0.637781299073181,1
0.316,0.23934692096359,0.543833134405305,-0.637460406187707,1
0.317,0.239890163701537,0.542652591741627,-0.637139431715339,1
0.318,0.240432226647342,0.541473549885164,-0.636818376117963,1
0.319,0.240973111301103,0.540296007416713,-0.636497239856748,1
0.32,0.241512819161499,0.539119962918028,-0.636176023392145,1
0.321,0.24205135172579,0.537945414971823,-0.635854727183888,1
0.322,0.242588710489821,0.536772362161766,-0.635533351690996,1
0.323,0.243124896948021,0.535600803072486,-0.635211897371773,1
0.324,0.243659912593402,0.534430736289565,-0.634890364683808,1
0.325,0.244193758917564,0.533262160399545,-0.634568754083975,1
0.326,0.244726437410694,0.532095073989923,-0.634247066028439,1
0.327,0.245257949561567,0.530929475649152,-0.63392530097265,1
0.328,0.245788296857546,0.529765363966642,-0.633603459371346,1
0.329,0.246317480784583,0.528602737532757,-0.633281541678557,1
0.33,0.246845502827224,0.527441594938819,-0.632959548347603,1
0.331,0.247372364468605,0.526281934777102,-0.632637479831094,1
0.332,0.247898067190454,0.525123755640839,-0.632315336580931,1
0.333,0.248422612473093,0.523967056124213,-0.63199311904831,1
0.334,0.24894600179544,0.522811834822366,-0.63167082768372,1
0.335,0.249468236635008,0.521658090331391,-0.631348462936941,1
0.336,0.249989318467906,0.520505821248338,-0.631026025257053,1
0.337,0.25050924876884,0.519355026171207,-0.630703515092427,1
0.338,0.251028029011117,0.518205703698954,-0.630380932890734,1
0.339,0.25154566066664,0.517057852431489,-0.630058279098941,1
0.34,0.252062145205915,0.515911470969673,-0.629735554163311,1
0.341,0.252577484098048,0.51476655791532,-0.62941275852941,1
0.342,0.253091678810749,0.513623111871198,-0.629089892642099,1
0.343,0.253604730810329,0.512481131441025,-0.628766956945543,1
0.344,0.254116641561704,0.511340615229474,-0.628443951883206,1
0.345,0.254627412528396,0.510201561842166,-0.628120877897856,1
0.346,0.255137045172532,0.509063969885677,-0.62779773543156,1
0.347,0.255645540954846,0.507927837967532,-0.627474524925692,1
0.348,0.256152901334682,0.506793164696208,-0.627151246820928,1
0.349,0.256659127769991,0.505659948681132,-0.626827901557251,1
0.35,0.257164221717333,0.504528188532682,-0.626504489573946,1
0.351,0.257668184631882,0.503397882862187,-0.626181011309609,1
0.352,0.258171017967421,0.502269030281923,-0.62585746720214,1
0.353,0.258672723176347,0.50114162940512,-0.625533857688748,1
0.354,0.259173301709671,0.500015678845953,-0.625210183205951,1
0.355,0.259672755017017,0.498891177219549,-0.624886444189576,1
0.356,0.260171084546626,0.497768123141984,-0.62456264107476,1
0.357,0.260668291745356,0.496646515230282,-0.624238774295953,1
0.358,0.261164378058681,0.495526352102414,-0.623914844286913,1
0.359,0.261659344930695,0.494407632377302,-0.623590851480715,1
0.36,0.26215319380411,0.493290354674812,-0.623266796309744,1
0.361,0.262645926120259,0.492174517615762,-0.6229426792057,1
0.362,0.263137543319097,0.491060119821915,-0.622618500599599,1
0.363,0.263628046839199,0.489947159915981,-0.62229426092177,1
0.364,0.264117438117766,0.488835636521616,-0.621969960601861,1
0.365,0.264605718590621,0.487725548263426,-0.621645600068835,1
0.366,0.265092889692213,0.48661689376696,-0.621321179750974,1
0.367,0.265578952855618,0.485509671658713,-0.620996700075879,1
0.368,0.266063909512536,0.484403880566129,-0.620672161470468,1
0.369,0.266547761093298,0.483299519117593,-0.620347564360982,1
0.37,0.267030509026862,0.48219658594244,-0.620022909172981,1
0.371,0.267512154740817,0.481095079670946,-0.619698196331346,1
0.372,0.267992699661382,0.479994998934334,-0.619373426260283,1
0.373,0.268472145213408,0.47889634236477,-0.619048599383319,1
0.374,0.268950492820379,0.477799108595365,-0.618723716123305,1
0.375,0.26942774390441,0.476703296260175,-0.618398776902417,1
0.376,0.269903899886255,0.475608903994197,-0.618073782142156,1
0.377,0.270378962185301,0.474515930433373,-0.617748732263348,1
0.378,0.27085293221957,0.473424374214589,-0.617423627686149,1
0.379,0.271325811405723,0.472334233975671,-0.61709846883004,1
0.38,0.27179760115906,0.471245508355391,-0.616773256113831,1
0.381,0.27226830289352,0.470158195993461,-0.616447989955659,1
0.382,0.27273791802168,0.469072295530535,-0.616122670772995,1
0.383,0.273206447954761,0.467987805608209,-0.615797298982638,1
0.384,0.273673894102625,0.466904724869023,-0.615471875000717,1
0.385,0.274140257873775,0.465823051956453,-0.615146399242695,1
0.386,0.274605540675361,0.464742785514921,-0.614820872123368,1
0.387,0.275069743913177,0.463663924189787,-0.614495294056865,1
0.388,0.275532868991662,0.462586466627351,-0.614169665456648,1
0.389,0.275994917313902,0.461510411474856,-0.613843986735515,1
0.39,0.276455890281631,0.460435757380481,-0.613518258305599,1
0.391,0.276915789295232,0.459362502993347,-0.613192480578372,1
0.392,0.277374615753736,0.458290646963514,-0.61286665396464,1
0.393,0.277832371054828,0.45722018794198,-0.612540778874548,1
0.394,0.27828905659484,0.456151124580683,-0.612214855717581,1
0.395,0.27874467376876,0.455083455532499,-0.611888884902561,1
0.396,0.279199223970228,0.454017179451241,-0.611562866837652,1
0.397,0.279652708591537,0.452952294991661,-0.611236801930359,1
0.398,0.280105129023637,0.451888800809449,-0.610910690587526,1
0.399,0.280556486656134,0.450826695561232,-0.610584533215342,1
0.4,0.28100678287729,0.449765977904574,-0.610258330219339,1
0.401,0.281456019074026,0.448706646497974,-0.609932082004391,1
0.402,0.281904196631922,0.447648700000871,-0.609605788974718,1
0.403,0.282351316935218,0.446592137073637,-0.609279451533885,1
0.404,0.282797381366813,0.445536956377582,-0.608953070084802,1
0.405,0.283242391308271,0.44448315657495,-0.608626645029727,1
0.406,0.283686348139816,0.443430736328922,-0.608300176770264,1
0.407,0.284129253240336,0.442379694303612,-0.607973665707368,1
0.408,0.284571107987385,0.441330029164072,-0.60764711224134,1
0.409,0.285011913757181,0.440281739576285,-0.607320516771831,1
0.41,0.28545167192461,0.439234824207171,-0.606993879697844,1
0.411,0.285890383863224,0.438189281724582,-0.606667201417731,1
0.412,0.286328050945245,0.437145110797304,-0.606340482329197,1
0.413,0.286764674541561,0.436102310095058,-0.606013722829301,1
0.414,0.287200256021733,0.435060878288495,-0.605686923314451,1
0.415,0.287634796753994,0.434020814049203,-0.605360084180414,1
0.416,0.288068298105245,0.432982116049698,-0.605033205822307,1
0.417,0.288500761441064,0.431944782963431,-0.604706288634607,1
0.418,0.288932188125701,0.430908813464784,-0.604379333011143,1
0.419,0.289362579522081,0.429874206229072,-0.604052339345103,1
0.42,0.289791936991806,0.42884095993254,-0.603725308029034,1
0.421,0.290220261895152,0.427809073252363,-0.603398239454837,1
0.422,0.290647555591075,0.426778544866649,-0.603071134013776,1
0.423,0.29107381943721,0.425749373454436,-0.602743992096473,1
0.424,0.291499054789868,0.424721557695692,-0.602416814092911,1
0.425,0.291923263004046,0.423695096271313,-0.602089600392434,1
0.426,0.292346445433417,0.422669987863128,-0.601762351383747,1
0.427,0.292768603430338,0.421646231153893,-0.601435067454919,1
0.428,0.293189738345852,0.420623824827294,-0.601107748993382,1
0.429,0.293609851529682,0.419602767567945,-0.600780396385932,1
0.43,0.294028944330239,0.418583058061389,-0.600453010018728,1
0.431,0.294447018094618,0.417564694994096,-0.600125590277298,1
0.432,0.294864074168603,0.416547677053467,-0.599798137546533,1
0.433,0.295280113896663,0.415532002927826,-0.599470652210692,1
0.434,0.29569513862196,0.414517671306429,-0.599143134653401,1
0.435,0.296109149686341,0.413504680879455,-0.598815585257657,1
0.436,0.296522148430347,0.412493030338011,-0.598488004405822,1
0.437,0.296934136193209,0.411482718374133,-0.59816039247963,1
0.438,0.297345114312852,0.410473743680778,-0.597832749860186,1
0.439,0.297755084125892,0.409466104951834,-0.597505076927965,1
0.44,0.298164046967642,0.40845980088211,-0.597177374062813,1
0.441,0.298572004172108,0.407454830167343,-0.596849641643952,1
0.442,0.298978957071994,0.406451191504195,-0.596521880049972,1
0.443,0.2993849069987,0.405448883590251,-0.596194089658843,1
0.444,0.299789855282324,0.404447905124021,-0.595866270847904,1
0.445,0.300193803251664,0.403448254804939,-0.595538423993873,1
